values,Int_long,Int_lat,Int_depth
36.74746796,125.5,-79.5,0
37.10979113,130.5,-79.5,0
37.4721143,135.5,-79.5,0
37.83443747,140.5,-79.5,0
38.19676063,145.5,-79.5,0
38.5590838,150.5,-79.5,0
38.92140697,155.5,-79.5,0
39.28373014,160.5,-79.5,0
39.64605331,165.5,-79.5,0
39.70411777,170.5,-79.5,0
40.00056584,175.5,-79.5,0
39.84861753,180.5,-79.5,0
36.77245711,185.5,-79.5,0
34.70816802,190.5,-79.5,0
33.2697385,195.5,-79.5,0
32.64418219,200.5,-79.5,0
32.19446848,205.5,-79.5,0
31.85835741,210.5,-79.5,0
32.14697918,215.5,-79.5,0
33.08875145,220.5,-79.5,0
33.1190373,225.5,-79.5,0
33.14932315,230.5,-79.5,0
33.17960899,235.5,-79.5,0
33.20989484,240.5,-79.5,0
33.24018069,245.5,-79.5,0
33.27046654,250.5,-79.5,0
33.30075239,255.5,-79.5,0
33.33103823,260.5,-79.5,0
33.36132408,265.5,-79.5,0
33.39160993,270.5,-79.5,0
33.42189578,275.5,-79.5,0
33.45218163,280.5,-79.5,0
33.48246747,285.5,-79.5,0
33.55651143,290.5,-79.5,0
33.6305554,295.5,-79.5,0
33.57120152,300.5,-79.5,0
33.51184764,305.5,-79.5,0
33.45249376,310.5,-79.5,0
33.39313988,315.5,-79.5,0
33.333786,320.5,-79.5,0
33.58970641,325.5,-79.5,0
33.84562682,330.5,-79.5,0
34.10154723,335.5,-79.5,0
34.35746764,340.5,-79.5,0
34.61338805,345.5,-79.5,0
34.86930846,350.5,-79.5,0
35.12522887,355.5,-79.5,0
35.38114928,360.5,-79.5,0
35.63706969,365.5,-79.5,0
35.8929901,370.5,-79.5,0
36.1489105,375.5,-79.5,0
34.88599651,-19.5,-74.5,0
34.92912456,-14.5,-74.5,0
34.9722526,-9.5,-74.5,0
35.01538064,-4.5,-74.5,0
35.05850868,0.5,-74.5,0
35.10163672,5.5,-74.5,0
35.14476477,10.5,-74.5,0
35.18789281,15.5,-74.5,0
35.23102085,20.5,-74.5,0
35.27414889,25.5,-74.5,0
35.31727693,30.5,-74.5,0
35.36040497,35.5,-74.5,0
35.40353302,40.5,-74.5,0
35.44666106,45.5,-74.5,0
35.4897891,50.5,-74.5,0
35.53291714,55.5,-74.5,0
35.57604518,60.5,-74.5,0
35.61917323,65.5,-74.5,0
35.66230127,70.5,-74.5,0
35.70542931,75.5,-74.5,0
35.74855735,80.5,-74.5,0
35.79168539,85.5,-74.5,0
35.83481344,90.5,-74.5,0
35.87794148,95.5,-74.5,0
35.92106952,100.5,-74.5,0
35.96419756,105.5,-74.5,0
36.0073256,110.5,-74.5,0
36.05045364,115.5,-74.5,0
36.27964632,120.5,-74.5,0
36.69490363,125.5,-74.5,0
37.11016094,130.5,-74.5,0
37.52541825,135.5,-74.5,0
37.94067556,140.5,-74.5,0
38.35593287,145.5,-74.5,0
37.93162027,150.5,-74.5,0
37.43185551,155.5,-74.5,0
36.46779861,160.5,-74.5,0
35.0266962,165.5,-74.5,0
35.08730316,170.5,-74.5,0
35.0464859,175.5,-74.5,0
32.03555298,180.5,-74.5,0
30.31302643,185.5,-74.5,0
31.0749836,190.5,-74.5,0
31.56463242,195.5,-74.5,0
31.75194931,200.5,-74.5,0
31.65126991,205.5,-74.5,0
31.25810432,210.5,-74.5,0
30.97904778,215.5,-74.5,0
30.65000343,220.5,-74.5,0
31.5562913,225.5,-74.5,0
32.46257917,230.5,-74.5,0
33.43983585,235.5,-74.5,0
33.4701217,240.5,-74.5,0
33.50040755,245.5,-74.5,0
33.5306934,250.5,-74.5,0
33.56097925,255.5,-74.5,0
33.59126509,260.5,-74.5,0
33.62155094,265.5,-74.5,0
33.80146018,270.5,-74.5,0
34.23624602,275.5,-74.5,0
35.19630995,280.5,-74.5,0
32.46707144,285.5,-74.5,0
36.39413105,290.5,-74.5,0
37.30507867,295.5,-74.5,0
36.08559418,300.5,-74.5,0
34.03446579,305.5,-74.5,0
32.60076904,310.5,-74.5,0
31.9016037,315.5,-74.5,0
31.97416115,320.5,-74.5,0
32.71579361,325.5,-74.5,0
33.72091675,330.5,-74.5,0
34.54897817,335.5,-74.5,0
34.41234539,340.5,-74.5,0
34.67433404,345.5,-74.5,0
34.93328857,350.5,-74.5,0
35.18920898,355.5,-74.5,0
35.44512939,360.5,-74.5,0
35.7010498,365.5,-74.5,0
35.95697021,370.5,-74.5,0
36.21289062,375.5,-74.5,0
34.18464661,-19.5,-69.5,0
34.00258636,-14.5,-69.5,0
34.18199921,-9.5,-69.5,0
34.57979202,-4.5,-69.5,0
34.99938965,0.5,-69.5,0
35.54482269,5.5,-69.5,0
36.0943222,10.5,-69.5,0
36.27687073,15.5,-69.5,0
36.34172356,20.5,-69.5,0
36.33687973,25.5,-69.5,0
35.91033554,30.5,-69.5,0
35.48379135,35.5,-69.5,0
35.05724716,40.5,-69.5,0
34.63070297,45.5,-69.5,0
34.20415878,50.5,-69.5,0
33.77761459,55.5,-69.5,0
33.3510704,60.5,-69.5,0
32.92452621,65.5,-69.5,0
32.49798203,70.5,-69.5,0
32.91323933,75.5,-69.5,0
33.32849664,80.5,-69.5,0
33.74375395,85.5,-69.5,0
34.15901126,90.5,-69.5,0
34.57426857,95.5,-69.5,0
34.98952588,100.5,-69.5,0
35.40478319,105.5,-69.5,0
